id_produto,nome_produto,categoria,marca
700,Cadeira Gamer X,Informática,Pichau
710,Smartphone Ultra,Móveis,Sony
720,Gabinete Plus,Games,Logitech
730,Notebook Pro,Eletrodomésticos,LG
740,Teclado Basic,Informática,Asus
750,Cadeira Gamer Ultra,Informatica,Samsung
760,Notebook Basic,Informática,Asus
770,Monitor V2,Móveis,Sony
780,Teclado Plus,Móveis,LG
790,Webcam V2,Acessórios,HP
800,Notebook V2,Móveis,Samsung
810,Headset Gamer,Games,Logitech
820,Gabinete Basic,Games,Lenovo
830,Monitor Plus,Informática,LG
840,Cadeira Gamer Pro,Eletrodomésticos,Lenovo
850,Teclado Basic,Móveis,Logitech
860,Gabinete Pro,acessórios,
870,Smartphone V2,Eletrodomésticos,Logitech
880,Mouse Ultra,Eletrônicos,Lenovo
890,Smartphone Basic,Informática,HP
900,Gabinete Plus,Games,Apple
910,Smartphone Ultra,Móveis,Logitech
920,Mesa Digitalizadora Ultra,Eletrodomésticos,Dell
930,Monitor Gamer,Eletrônicos,Asus
940,Smartphone Gamer,Games,Sony
950,Headset Pro,Móveis,Samsung
960,Mesa Digitalizadora Ultra,Eletrônicos,Samsung
970,Headset Plus,Informática,Logitech
980,Notebook V2,Informática,Sony
990,Smartphone Basic,Eletrônicos,Dell
1000,Notebook X,Informática,LG
1010,Headset Plus,Informatica,Sony
1020,Webcam Ultra,Eletrônicos,LG
1030,Webcam Pro,Móveis,Logitech
1040,Webcam Gamer,Informática,LG
1050,Cadeira Gamer Ultra,Acessórios,Lenovo
1060,Gabinete X,Eletrodomésticos,Apple
1070,Gabinete Pro,eletrodomésticos,
1080,Gabinete X,Eletrodomésticos,HP
1090,Teclado V2,Eletrônicos,LG
1100,Headset Gamer,Acessórios,HP
1110,Cadeira Gamer X,Games,Apple
1120,Notebook Ultra,Games,Logitech
1130,Notebook Basic,Móveis,Samsung
1140,Mesa Digitalizadora Pro,Acessórios,Dell
1150,Mesa Digitalizadora Plus,Eletrônicos,Logitech
1160,Monitor Basic,Eletrodomésticos,Asus
1170,Headset Pro,Móveis,Sony
1180,Headset V2,Acessórios,Sony
1190,Mesa Digitalizadora Gamer,Acessórios,LG
1200,Mesa Digitalizadora Basic,Móveis,LG
1210,Mesa Digitalizadora V2,Eletrodomésticos,LG
1220,Cadeira Gamer V2,Acessórios,Asus
1230,Gabinete Basic,Acessórios,Asus
1240,Monitor Pro,Informática,Logitech
1250,Headset Basic,Eletrodomésticos,Asus
1260,Teclado Gamer,Eletrodomésticos,Sony
1270,Monitor V2,móveis,
1280,Notebook Pro,Eletrônicos,LG
1290,Notebook Basic,Games,Apple
1300,Headset X,games,Dell
1310,Mouse Ultra,Informática,LG
1320,Smartphone Gamer,Eletrônicos,Samsung
1330,Smartphone V2,eletrodomésticos,LG
1340,Teclado V2,Informática,HP
1350,Mouse Pro,Informática,Lenovo
1360,Mouse Plus,Eletrônicos,LG
1370,Monitor Gamer,Eletrônicos,HP
1380,Cadeira Gamer Plus,Moveis,Asus
1390,Mouse Plus,Games,Logitech
1400,Webcam Pro,Eletrônicos,Logitech
1410,Smartphone Basic,Móveis,Lenovo
1420,Cadeira Gamer X,Acessórios,Logitech
1430,Gabinete Pro,Móveis,Apple
1440,Monitor Basic,Games,Sony
1450,Teclado Basic,Móveis,Samsung
1460,Gabinete Gamer,Acessórios,Samsung
1470,Smartphone V2,Eletrônicos,Pichau
1480,Headset Ultra,acessórios,Pichau
1490,Headset Plus,Eletrodomésticos,Pichau
1500,Mouse Basic,Eletrônicos,Samsung
1510,Notebook V2,Móveis,Samsung
1520,Headset Gamer,Móveis,Sony
1530,Monitor X,Games,LG
1540,Teclado V2,Games,Samsung
1550,Mouse Pro,Eletrônicos,HP
1560,Smartphone Ultra,Móveis,Pichau
1570,Mesa Digitalizadora Plus,Eletrodomésticos,Pichau
1580,Smartphone Gamer,Eletrodomésticos,Logitech
1590,Webcam Basic,Informatica,Logitech
1600,Mouse Plus,Acessórios,Pichau
1610,Monitor X,Móveis,Lenovo
1620,Mouse Ultra,Informática,LG
1630,Mouse V2,Eletrônicos,LG
1640,Gabinete Gamer,Games,Lenovo
1650,Mouse Gamer,Móveis,Asus
1660,Monitor Basic,Móveis,Pichau
1670,Teclado Plus,Games,Apple
1680,Notebook Pro,Informática,Lenovo
1690,Cadeira Gamer Gamer,Eletrônicos,Lenovo
1700,Notebook Pro,Eletrodomésticos,HP
1710,Mesa Digitalizadora Plus,Games,Dell
1720,Smartphone Ultra,Eletrônicos,HP
1730,Webcam Plus,Móveis,Asus
1740,Headset X,Eletrônicos,HP
1750,Mouse X,Acessórios,Samsung
1760,Headset Pro,Móveis,HP
1770,Teclado Plus,Eletrônicos,Pichau
1780,Monitor Gamer,Moveis,Asus
1790,Teclado Ultra,Eletrônicos,Samsung
1800,Gabinete V2,Games,Logitech
1810,Teclado Gamer,Eletrodomésticos,Samsung
1820,Monitor Basic,Eletrodomésticos,Asus
1830,Gabinete V2,Eletrônicos,Apple
1840,Webcam Plus,informática,Samsung
1850,Smartphone Pro,Informática,Asus
1860,Gabinete Plus,Acessorios,Pichau
1870,Mesa Digitalizadora Ultra,Eletrônicos,Sony
1880,Mouse Plus,Informática,Pichau
1890,Mesa Digitalizadora Pro,Informática,Samsung
1900,Headset Gamer,Móveis,Apple
1910,Gabinete X,Móveis,Apple
1920,Teclado Ultra,Informatica,Apple
1930,Teclado Pro,Moveis,Pichau
1940,Gabinete V2,Eletrodomésticos,Pichau
1950,Teclado X,Informática,Pichau
1960,Cadeira Gamer Plus,eletrônicos,Apple
1970,Headset V2,Eletrônicos,Pichau
1980,Headset V2,Games,Sony
1990,Smartphone Pro,eletrônicos,Lenovo
2000,Teclado Pro,Móveis,Logitech
2010,Smartphone Plus,Acessórios,Logitech
2020,Headset Pro,Acessórios,Logitech
2030,Mesa Digitalizadora Basic,Eletrodomésticos,Dell
2040,Cadeira Gamer Ultra,acessórios,Pichau
2050,Webcam Ultra,Games,HP
2060,Mouse Basic,Acessórios,Sony
2070,Cadeira Gamer X,eletrodomésticos,
2080,Notebook Basic,Eletrônicos,HP
2090,Gabinete Pro,Eletrodomésticos,Dell
2100,Cadeira Gamer Pro,Eletrodomésticos,Sony
2110,Gabinete Ultra,Móveis,Dell
2120,Notebook Plus,móveis,
2130,Mesa Digitalizadora Plus,Games,Samsung
2140,Webcam Pro,Eletrodomésticos,Asus
2150,Gabinete Pro,Acessórios,Pichau
2160,Gabinete Gamer,Eletrodomésticos,Logitech
2170,Cadeira Gamer Basic,Acessórios,Dell
2180,Notebook Gamer,Eletrônicos,Logitech
2190,Mesa Digitalizadora Pro,Informática,Lenovo
2200,Smartphone Ultra,Acessórios,Sony
2210,Cadeira Gamer Plus,Games,Asus
2220,Cadeira Gamer X,Acessórios,Sony
2230,Headset Gamer,Acessorios,Samsung
2240,Gabinete X,Acessórios,Sony
2250,Mesa Digitalizadora Gamer,Informática,Sony
2260,Monitor X,Informática,Logitech
2270,Monitor V2,Eletrodomésticos,HP
2280,Cadeira Gamer V2,Eletrodomésticos,Pichau
2290,Mouse Ultra,Informática,Dell
2300,Monitor V2,Móveis,Samsung
2310,Mesa Digitalizadora X,Acessórios,HP
2320,Notebook Ultra,eletrodomésticos,
2330,Cadeira Gamer Pro,Acessórios,Sony
2340,Headset Gamer,Acessórios,Lenovo
2350,Notebook X,Eletrônicos,Pichau
2360,Smartphone Ultra,Games,Pichau
2370,Mouse Basic,Móveis,Samsung
2380,Notebook Gamer,Informática,Sony
2390,Webcam X,Eletrodomésticos,Samsung
2400,Headset X,Eletrodomésticos,Dell
2410,Mesa Digitalizadora Ultra,Games,Pichau
2420,Headset Basic,Eletrônicos,HP
2430,Teclado Pro,Eletrodomésticos,Asus
2440,Mouse V2,Acessórios,Asus
2450,Mouse Gamer,Acessórios,Apple
2460,Gabinete Plus,Eletrodomésticos,Asus
2470,Cadeira Gamer Ultra,Informática,Lenovo
2480,Mouse Gamer,Acessórios,Samsung
2490,Cadeira Gamer V2,Acessórios,Samsung
2500,Headset Ultra,Games,LG
2510,Gabinete Basic,eletrodomésticos,
2520,Teclado V2,Acessórios,Lenovo
2530,Smartphone X,Eletronicos,Apple
2540,Teclado Pro,informática,Apple
2550,Headset Pro,Games,Lenovo
2560,Monitor Plus,Acessórios,Logitech
2570,Monitor Plus,Informática,Apple
2580,Webcam Pro,Eletrodomésticos,Asus
2590,Teclado Ultra,Móveis,Pichau
2600,Mesa Digitalizadora X,Móveis,Samsung
2610,Teclado Pro,Móveis,Logitech
2620,Headset Ultra,Móveis,Apple
2630,Gabinete X,Games,Apple
2640,Mesa Digitalizadora Pro,Eletrônicos,Dell
2650,Notebook Plus,Eletrônicos,Lenovo
2660,Monitor Basic,Eletrodomésticos,Apple
2670,Mouse Plus,Acessórios,Samsung
2680,Cadeira Gamer X,Eletrodomésticos,Lenovo
2690,Mesa Digitalizadora Plus,Móveis,Pichau
2700,Headset Ultra,Acessórios,Lenovo
2710,Mouse V2,Informática,Dell
2720,Smartphone Pro,eletrodomésticos,LG
2730,Monitor Gamer,Eletrodomésticos,Apple
2740,Webcam X,Móveis,HP
2750,Smartphone Ultra,Eletrônicos,Sony
2760,Mesa Digitalizadora V2,Games,HP
2770,Headset X,Eletrônicos,Pichau
2780,Smartphone Plus,Informática,Asus
2790,Cadeira Gamer V2,Eletrodomésticos,Apple
2800,Cadeira Gamer Plus,Móveis,Samsung
2810,Mesa Digitalizadora Gamer,Informática,Apple
2820,Mesa Digitalizadora Pro,Informática,Lenovo
2830,Mesa Digitalizadora Gamer,Móveis,Dell
2840,Teclado V2,Eletrônicos,Dell
2850,Gabinete Ultra,Eletrodomésticos,Dell
2860,Mesa Digitalizadora Pro,Eletrodomésticos,Pichau
2870,Gabinete Basic,Games,Pichau
2880,Monitor Basic,Informática,HP
2890,Mesa Digitalizadora Gamer,Eletrônicos,Apple
2900,Notebook V2,Eletrônicos,Apple
2910,Mouse X,Eletrônicos,Sony
2920,Mesa Digitalizadora Basic,Eletrônicos,Pichau
2930,Notebook Basic,Eletrônicos,Dell
2940,Cadeira Gamer V2,Acessórios,Asus
2950,Smartphone X,Eletrodomésticos,Samsung
2960,Monitor X,Eletrodomésticos,LG
2970,Teclado Plus,Acessorios,HP
2980,Monitor V2,Móveis,Sony
2990,Teclado V2,Eletrodomésticos,Pichau
3000,Smartphone X,Acessórios,Lenovo
3010,Monitor X,Acessórios,HP
3020,Headset X,Móveis,Dell
3030,Mesa Digitalizadora Basic,Informática,HP
3040,Webcam Basic,Eletrônicos,Samsung
3050,Gabinete X,Informática,Lenovo
3060,Teclado Basic,Informática,Logitech
3070,Teclado Basic,Acessórios,Sony
3080,Gabinete Plus,games,Dell
3090,Gabinete Pro,games,
3100,Notebook Ultra,Informática,Asus
3110,Teclado Gamer,Eletrodomésticos,Dell
3120,Mouse Basic,Informática,Lenovo
3130,Headset Pro,Games,Logitech
3140,Notebook Pro,Móveis,Sony
3150,Teclado V2,Games,Sony
3160,Notebook Basic,Móveis,Dell
3170,Smartphone Ultra,Eletrodomésticos,Logitech
3180,Cadeira Gamer Plus,Acessórios,LG
3190,Cadeira Gamer Plus,Eletrônicos,Logitech
3200,Smartphone V2,Acessórios,Sony
3210,Gabinete X,Eletrodomésticos,Pichau
3220,Mouse Ultra,Informática,Lenovo
3230,Mesa Digitalizadora Gamer,Acessórios,Asus
3240,Gabinete V2,Games,Samsung
3250,Monitor Pro,Informatica,Logitech
3260,Gabinete Pro,Acessórios,LG
3270,Mouse Ultra,Acessórios,Apple
3280,Gabinete V2,Eletrodomésticos,Apple
3290,Cadeira Gamer V2,Móveis,Sony
3300,Mouse X,Games,Samsung
3310,Smartphone X,Eletrônicos,Lenovo
3320,Webcam Gamer,Eletrônicos,LG
3330,Monitor X,Informatica,Apple
3340,Gabinete Ultra,Móveis,Logitech
3350,Cadeira Gamer Pro,Eletrodomésticos,Pichau
3360,Monitor Ultra,Eletrodomésticos,Asus
3370,Notebook Pro,Acessórios,Asus
3380,Monitor Ultra,Eletrodomésticos,Dell
3390,Webcam X,Acessórios,Asus
3400,Mesa Digitalizadora Pro,Games,Asus
3410,Cadeira Gamer Plus,Games,Asus
3420,Smartphone Basic,Móveis,Logitech
3430,Headset Basic,acessórios,Lenovo
3440,Smartphone Basic,Informática,Pichau
3450,Webcam Pro,Eletrodomésticos,Pichau
3460,Headset Gamer,Informática,Sony
3470,Gabinete Basic,Acessórios,Asus
3480,Headset Gamer,Games,Lenovo
3490,Mesa Digitalizadora Basic,Móveis,Samsung
3500,Smartphone X,Eletrônicos,Pichau
3510,Notebook X,Eletrodomésticos,LG
3520,Cadeira Gamer Basic,Acessórios,Apple
3530,Gabinete Ultra,Móveis,Apple
3540,Cadeira Gamer Plus,Games,Samsung
3550,Gabinete Ultra,Informatica,Dell
3560,Gabinete Basic,Informática,Asus
3570,Headset X,Eletrodomésticos,Lenovo
3580,Gabinete Pro,Games,Asus
3590,Mouse X,Games,HP
3600,Teclado Basic,Eletrônicos,Sony
3610,Gabinete V2,Acessórios,Asus
3620,Gabinete X,Acessórios,Pichau
3630,Cadeira Gamer Basic,Informática,Pichau
3640,Notebook Ultra,Acessórios,Sony
3650,Mesa Digitalizadora Pro,Games,Asus
3660,Webcam Plus,Eletrodomésticos,Logitech
3670,Monitor V2,Informática,HP
3680,Headset Pro,Informática,Sony
3690,Headset Gamer,Eletrônicos,Logitech
3700,Webcam X,Eletrônicos,Dell
3710,Webcam Basic,Games,Dell
3720,Notebook Plus,Móveis,Dell
3730,Notebook Gamer,Eletrodomésticos,HP
3740,Headset V2,Informática,Logitech
3750,Teclado Ultra,Acessórios,Pichau
3760,Teclado Ultra,Eletrônicos,Dell
3770,Smartphone Basic,Informatica,Sony
3780,Webcam Plus,Acessórios,Pichau
3790,Headset Pro,Informatica,LG
3800,Smartphone Pro,eletrônicos,
3810,Teclado Gamer,Eletrônicos,HP
3820,Headset Plus,Games,Lenovo
3830,Webcam Gamer,Acessórios,Dell
3840,Monitor V2,Informática,Asus
3850,Notebook V2,Informática,Apple
3860,Headset Ultra,Informática,Apple
3870,Gabinete Plus,Eletrodomésticos,Apple
3880,Monitor Plus,Informatica,Logitech
3890,Monitor X,Móveis,Logitech
3900,Webcam V2,Eletrônicos,Dell
3910,Webcam V2,móveis,
3920,Monitor X,eletrônicos,
3930,Mouse V2,Eletrônicos,Lenovo
3940,Cadeira Gamer Plus,Informática,Sony
3950,Notebook Pro,Acessorios,HP
3960,Headset X,Móveis,Lenovo
3970,Teclado Basic,Games,Sony
3980,Webcam Basic,Acessórios,HP
3990,Notebook Ultra,acessórios,
4000,Webcam Ultra,Eletrodomésticos,Asus
4010,Headset Plus,Eletrônicos,Dell
4020,Monitor Basic,Games,Lenovo
4030,Headset Basic,Acessórios,Sony
4040,Mesa Digitalizadora Gamer,Informática,Samsung
4050,Gabinete Pro,Eletrodomésticos,Lenovo
4060,Mesa Digitalizadora Basic,Informática,Asus
4070,Smartphone Plus,Games,Samsung
4080,Headset V2,Games,Asus
4090,Smartphone V2,Móveis,Pichau
4100,Smartphone X,Móveis,Pichau
4110,Webcam Basic,Móveis,Sony
4120,Cadeira Gamer Basic,Eletrodomésticos,Apple
4130,Headset Plus,Eletrodomésticos,HP
4140,Mesa Digitalizadora Basic,Informática,Apple
4150,Monitor Pro,Eletrodomésticos,Samsung
4160,Mesa Digitalizadora Basic,Games,Apple
4170,Notebook Plus,Informática,Asus
4180,Gabinete X,Games,Samsung
4190,Smartphone Gamer,Eletrodomésticos,Logitech
4200,Headset Basic,Informática,Logitech
4210,Gabinete Plus,Móveis,LG
4220,Gabinete V2,Eletrônicos,Apple
4230,Smartphone X,Eletrodomésticos,Sony
4240,Teclado V2,Games,LG
4250,Monitor Gamer,Móveis,Pichau
4260,Headset Gamer,Informática,Pichau
4270,Teclado Basic,Eletrodomésticos,Logitech
4280,Smartphone Pro,Eletrodomésticos,Dell
4290,Cadeira Gamer Plus,Games,Samsung
4300,Mesa Digitalizadora V2,acessórios,
4310,Mesa Digitalizadora X,Móveis,Samsung
4320,Mouse Pro,Acessórios,Apple
4330,Smartphone V2,Games,Samsung
4340,Gabinete V2,Eletrodomésticos,Samsung
4350,Cadeira Gamer Gamer,Móveis,Asus
4360,Smartphone Basic,Informática,Lenovo
4370,Cadeira Gamer V2,Games,Sony
4380,Monitor X,Móveis,Asus
4390,Gabinete V2,Eletrodomésticos,Pichau
4400,Teclado Basic,Informática,Lenovo
4410,Mouse Basic,Informática,Lenovo
4420,Monitor Basic,Móveis,Samsung
4430,Webcam V2,acessórios,
4440,Gabinete V2,Acessórios,Sony
4450,Monitor X,Informática,Lenovo
4460,Webcam Pro,Eletrodomésticos,LG
4470,Notebook X,eletrônicos,Asus
4480,Webcam V2,Acessórios,Pichau
4490,Cadeira Gamer V2,Eletrodomésticos,Sony
4500,Smartphone Ultra,Eletrônicos,LG
4510,Teclado V2,Acessórios,Apple
4520,Mouse X,Games,Apple
4530,Smartphone Basic,Games,Asus
4540,Cadeira Gamer Gamer,Eletrônicos,Sony
4550,Notebook Plus,Games,LG
4560,Smartphone Pro,Games,HP
4570,Headset Ultra,Games,Apple
4580,Teclado Plus,Eletrodomésticos,Apple
4590,Mouse Ultra,Eletrônicos,Pichau
4600,Monitor Ultra,Eletrodomésticos,Dell
4610,Mesa Digitalizadora X,Games,HP
4620,Mesa Digitalizadora Basic,Eletrônicos,Logitech
4630,Monitor Pro,Eletrodomésticos,LG
4640,Mouse Pro,Eletrodomésticos,Dell
4650,Notebook Basic,Móveis,Sony
4660,Webcam Pro,Móveis,Apple
4670,Mesa Digitalizadora X,Eletrônicos,Lenovo
4680,Teclado Basic,Informática,Pichau
4690,Notebook Basic,Móveis,Samsung
4700,Mesa Digitalizadora Basic,Informática,Sony
4710,Mouse Ultra,Games,Sony
4720,Headset V2,Eletrônicos,Pichau
4730,Mesa Digitalizadora Basic,Eletrônicos,Logitech
4740,Teclado Gamer,Eletrodomésticos,Samsung
4750,Teclado Plus,Games,Samsung
4760,Monitor Plus,Informática,LG
4770,Cadeira Gamer Plus,Informática,Sony
4780,Mouse Pro,Móveis,LG
4790,Gabinete Gamer,Acessórios,Asus
4800,Headset V2,Informática,Sony
4810,Mouse Basic,Informática,Logitech
4820,Monitor Plus,móveis,
4830,Mesa Digitalizadora X,Eletrônicos,LG
4840,Headset Basic,Eletrodomésticos,Dell
4850,Mouse X,Informática,Asus
4860,Webcam Pro,Móveis,Lenovo
4870,Gabinete Gamer,Eletrodomésticos,Samsung
4880,Cadeira Gamer V2,Eletrônicos,Logitech
4890,Notebook Plus,Games,Logitech
4900,Headset V2,Informática,Logitech
4910,Monitor Basic,Games,Sony
4920,Smartphone V2,Eletrônicos,Lenovo
4930,Gabinete Plus,Eletrodomésticos,Asus
4940,Gabinete Plus,Games,LG
4950,Mouse Gamer,Games,Pichau
4960,Headset V2,Móveis,Dell
4970,Teclado Plus,Eletrônicos,Pichau
4980,Gabinete Ultra,Móveis,Pichau
4990,Smartphone Gamer,Acessórios,Dell
5000,Mesa Digitalizadora X,Informática,Logitech
5010,Smartphone Pro,Eletrônicos,Apple
5020,Mouse Basic,Acessórios,LG
5030,Smartphone Pro,Games,Logitech
5040,Gabinete V2,Acessórios,Samsung
5050,Gabinete V2,Informática,LG
5060,Cadeira Gamer X,Informática,HP
5070,Notebook Pro,Informática,Dell
5080,Headset Ultra,Acessórios,Dell
5090,Gabinete Pro,Eletrônicos,HP
5100,Notebook Plus,Acessórios,Lenovo
5110,Mouse Ultra,Acessórios,LG
5120,Teclado Gamer,Eletrônicos,HP
5130,Webcam Plus,Eletrodomésticos,Lenovo
5140,Gabinete Plus,Móveis,Apple
5150,Mesa Digitalizadora Basic,Acessórios,LG
5160,Mesa Digitalizadora Gamer,Informática,HP
5170,Cadeira Gamer Basic,Eletrodomésticos,LG
5180,Teclado Plus,Acessórios,Asus
5190,Notebook V2,Eletrodomésticos,Sony
5200,Notebook Gamer,eletrônicos,
5210,Headset X,Eletrodomésticos,HP
5220,Gabinete Basic,Eletrônicos,LG
5230,Notebook X,Acessórios,Pichau
5240,Cadeira Gamer Gamer,Games,Samsung
5250,Monitor Pro,Games,Samsung
5260,Smartphone Plus,games,
5270,Notebook Pro,Games,Apple
5280,Notebook X,Móveis,Samsung
5290,Notebook Pro,Games,Samsung
5300,Notebook X,Eletrodomésticos,Dell
5310,Headset Plus,Acessórios,HP
5320,Monitor X,Eletrônicos,LG
5330,Teclado V2,Informática,Pichau
5340,Headset Gamer,games,
5350,Gabinete X,Eletrodomésticos,Apple
5360,Teclado Gamer,Eletrodomésticos,Dell
5370,Teclado X,Eletrodomésticos,Logitech
5380,Teclado Pro,eletrodomésticos,
5390,Monitor X,Games,Asus
5400,Headset Ultra,games,
5410,Gabinete Gamer,Eletrodomésticos,Pichau
5420,Mesa Digitalizadora Pro,Acessórios,Dell
5430,Smartphone Plus,Games,Apple
5440,Mouse V2,eletrodomésticos,Asus
5450,Mesa Digitalizadora Plus,Games,Dell
5460,Notebook X,Games,Apple
5470,Headset X,Games,HP
5480,Webcam V2,Eletrônicos,Sony
5490,Gabinete Gamer,Informática,Pichau
5500,Mesa Digitalizadora V2,Eletrodomésticos,Dell
5510,Webcam Plus,Acessórios,Apple
5520,Webcam Ultra,Eletrônicos,Lenovo
5530,Teclado V2,Eletrodomésticos,Asus
5540,Mouse Basic,Acessórios,LG
5550,Teclado Plus,Eletrodomésticos,Sony
5560,Webcam Plus,Eletrodomésticos,Apple
5570,Teclado Pro,Eletrodomésticos,Sony
5580,Teclado X,Informática,Pichau
5590,Teclado V2,Móveis,Dell
5600,Smartphone Ultra,Informática,Sony
5610,Smartphone Gamer,Acessórios,HP
5620,Monitor V2,Acessórios,Pichau
5630,Webcam V2,Informática,Lenovo
5640,Cadeira Gamer Ultra,Informática,Logitech
5650,Webcam X,Acessorios,Asus
5660,Cadeira Gamer Plus,Móveis,Dell
5670,Monitor X,Eletrodomésticos,HP
5680,Webcam X,Eletrônicos,Pichau
5690,Cadeira Gamer Pro,Eletrônicos,LG
5700,Notebook Pro,Games,Samsung
5710,Smartphone Pro,Eletrônicos,Apple
5720,Teclado Basic,informática,Sony
5730,Headset X,Games,Asus
5740,Gabinete V2,Eletrônicos,Lenovo
5750,Monitor X,Acessórios,Sony
5760,Notebook Ultra,Eletrodomésticos,Lenovo
5770,Headset Gamer,Games,Dell
5780,Headset V2,Eletrodomésticos,Dell
5790,Cadeira Gamer Plus,Eletrodomésticos,LG
5800,Gabinete Gamer,Móveis,Sony
5810,Teclado V2,Acessórios,Samsung
5820,Monitor Ultra,Eletrônicos,Logitech
5830,Teclado V2,Informática,HP
5840,Gabinete X,Eletrodomésticos,Dell
5850,Cadeira Gamer Plus,Móveis,Lenovo
5860,Mouse Pro,Acessórios,Lenovo
5870,Teclado Gamer,Informática,Logitech
5880,Mouse Basic,Informática,LG
5890,Webcam X,Games,Dell
5900,Smartphone Gamer,Informática,Samsung
5910,Webcam Basic,Games,HP
5920,Smartphone Gamer,Acessórios,Sony
5930,Cadeira Gamer V2,Informatica,Dell
5940,Webcam X,Eletrodomésticos,Lenovo
5950,Teclado Pro,Eletrônicos,Apple
5960,Gabinete V2,Acessórios,Apple
5970,Teclado V2,Eletrodomésticos,Pichau
5980,Smartphone Basic,Eletrodomésticos,Logitech
5990,Mouse Gamer,Games,Asus
6000,Mesa Digitalizadora Ultra,Eletrodomésticos,HP
6010,Teclado V2,Móveis,Lenovo
6020,Teclado Basic,Móveis,Asus
6030,Notebook Basic,Eletrônicos,Dell
6040,Mouse X,Eletrônicos,Samsung
6050,Smartphone V2,Móveis,Pichau
6060,Mouse Pro,Eletrônicos,Logitech
6070,Smartphone Basic,Eletrônicos,Dell
6080,Webcam Gamer,Informática,Dell
6090,Gabinete Basic,Games,Logitech
6100,Mesa Digitalizadora Basic,Acessórios,Lenovo
6110,Mesa Digitalizadora Basic,Games,Sony
6120,Mouse Basic,Móveis,Asus
6130,Gabinete Basic,Informática,Dell
6140,Mouse Ultra,Eletrodomésticos,HP
6150,Teclado Gamer,Informática,Asus
6160,Gabinete Plus,Eletrodomésticos,Asus
6170,Cadeira Gamer X,Informática,Asus
6180,Cadeira Gamer V2,Acessórios,HP
6190,Gabinete Basic,Móveis,LG
6200,Mouse Gamer,Móveis,Dell
6210,Webcam Pro,Móveis,Sony
6220,Headset X,eletrodomésticos,
6230,Mesa Digitalizadora Ultra,Games,Lenovo
6240,Smartphone V2,Móveis,Apple
6250,Smartphone X,Eletrônicos,Samsung
6260,Gabinete Ultra,Acessórios,Dell
6270,Mesa Digitalizadora Gamer,Eletrodomésticos,Lenovo
6280,Monitor Basic,Informática,Lenovo
6290,Mesa Digitalizadora V2,Informática,Apple
6300,Headset X,Games,Asus
